Disease/Pest,Type,Key Benefit of Control,Ideal Condition for Outbreak,Government Scheme/Support
Late Blight,Fungal,Yield Protection,High humidity & cool temps,PM Fasal Bima Yojana (PMFBY)
Yellow Rust,Fungal,Wheat Quality,Cool weather with rain/dew,Paramparagat Krishi Vikas Yojana
Rice Blast,Fungal,Grain Filling,High nitrogen & humidity,NFSM
Cotton Bollworm,Pest,Fiber Integrity,Warm temps & high moisture,Cotton Development Programme
Leaf Spot,Bacterial,Photosynthesis,Frequent rainfall & heat,RKVY - Raftaar
Root Rot,Fungal,Plant Stability,Waterlogged soil/Poor drainage,MIDH
Powdery Mildew,Fungal,Fruit Quality,Dry leaves & high humidity,National Horticulture Mission
Citrus Canker,Bacterial,Fruit Marketability,Wind-driven rain,Horticulture Development Scheme
Stem Borer,Pest,Stalk Strength,Stagnant water in paddy,Sub-Mission on Agri. Mech.
Aphids,Pest,Virus Prevention,Over-fertilization (Nitrogen),Integrated Scheme on Agri. Census
Black Scurf,Fungal,Tuber Appearance,Cool and wet soils,Potato Development Board
Downy Mildew,Fungal,Vine Health,Wet leaves & low temps,Grape Insurance Scheme
Fruit Fly,Pest,Export Quality,Ripening stage of fruits,Nat. Beekeeping & Honey Mission
Fusarium Wilt,Fungal,Crop Longevity,Acidic soil & high temps,Soil Health Card Scheme
Mealybugs,Pest,Sap Preservation,Dry weather & ants presence,Kusum Scheme (Solar Pumps)
Neck Blast,Fungal,Seed Production,Cloudy weather (flowering),Seed Village Programme
Red Rot,Fungal,Sugar Recovery,High rainfall & humidity,Sugar Development Fund (SDF)
Spider Mites,Pest,Leaf Vitality,Hot and dry conditions,Micro Irrigation Fund (NABARD)
Thrips,Pest,Flower Retention,Dry spells (Chili/Onion),PM Krishi Sinchayee Yojana
Tikka Disease,Fungal,Groundnut Yield,Heavy dew & low temp,Oilseeds Production Programme
Whitefly,Pest,Disease Control,Warm climate & low rainfall,NMOOP
Black Rot,Bacterial,Vegetable Storage,Warm and wet conditions,Operation Greens
Early Blight,Fungal,Leaf Duration,Heavy dew or frequent rains,E-NAM Marketing Support
Grain Smut,Fungal,Seed Health,Soil-borne spores at sowing,Gramin Bhandaran Yojana
Looper,Pest,Foliage Protection,Intermittent rain & sunshine,State Pesticide Subsidy Scheme
