Crop,Disease,Symptoms,Treatment,Organic_Control,Risk_Level
Rice,Brown Spot Variant 1,"Circular brown lesions on leaves, yellow halo",Mancozeb spray,Neem oil (3%),Medium
Rice,Blast Variant 1,"Spindle-shaped spots, grey center",Tricyclazole,Pseudomonas fluorescens,High
Rice,Bacterial Blight Variant 1,"Yellowish stripes, wilting",Copper Hydroxide,Cow dung extract spray,High
Wheat,Stem Rust Variant 1,Reddish-brown pustules,Propiconazole,Resistant varieties,High
Wheat,Loose Smut Variant 1,Black powder instead of grains,Carboxin,Hot water seed treatment,Medium
Cotton,Verticillium Wilt Variant 1,"Yellowing, vein discoloration",Soil solarization,Trichoderma,High
Cotton,Boll Rot Variant 1,Rotting lint,Copper Oxychloride,Remove debris,Medium
Tomato,Early Blight Variant 1,Target spots,Chlorothalonil,Compost tea,Medium
Tomato,Late Blight Variant 1,Water-soaked patches,Metalaxyl,Copper sprays,Critical
Maize,Turcicum Blight Variant 1,Gray-green lesions,Zineb,Crop rotation,Medium
Rice,Brown Spot Variant 2,"Circular brown lesions on leaves, yellow halo",Mancozeb spray,Neem oil (3%),Medium
Rice,Blast Variant 2,"Spindle-shaped spots, grey center",Tricyclazole,Pseudomonas fluorescens,High
Rice,Bacterial Blight Variant 2,"Yellowish stripes, wilting",Copper Hydroxide,Cow dung extract spray,High
Wheat,Stem Rust Variant 2,Reddish-brown pustules,Propiconazole,Resistant varieties,High
Wheat,Loose Smut Variant 2,Black powder instead of grains,Carboxin,Hot water seed treatment,Medium
Cotton,Verticillium Wilt Variant 2,"Yellowing, vein discoloration",Soil solarization,Trichoderma,High
Cotton,Boll Rot Variant 2,Rotting lint,Copper Oxychloride,Remove debris,Medium
Tomato,Early Blight Variant 2,Target spots,Chlorothalonil,Compost tea,Medium
Tomato,Late Blight Variant 2,Water-soaked patches,Metalaxyl,Copper sprays,Critical
Maize,Turcicum Blight Variant 2,Gray-green lesions,Zineb,Crop rotation,Medium
